更新时间,#genre#
2026-02-06 03:06:28,#genre#

央视频道,#genre#
东方卫视,http://brucex.space:4022/rtp/239.3.1.136:8032
东方卫视,http://www.brucex.space:4022/rtp/239.3.1.136:8032
东方卫视,http://171.124.111.237:8085/rtp/226.0.2.175:9312
东方卫视,http://183.129.136.102:9999/rtp/233.50.201.125:5140
东方卫视,http://183.129.136.102:9999/rtp/233.50.200.146:5140
东方卫视,http://114.248.6.123:8888/rtp/239.3.1.136:8032
东方卫视,http://114.250.23.126:4022/rtp/239.3.1.136:8032
深圳卫视,http://112.254.55.106:22222/rtp/239.253.254.91:8000
深圳卫视,http://124.65.5.35:20000/rtp/239.3.1.134:8020
深圳卫视,http://124.77.177.88:5555/rtp/233.18.204.89:5140
深圳卫视,http://124.77.177.88:5555/rtp/239.45.3.231:5140
深圳卫视,http://222.129.32.179:6666/rtp/239.3.1.134:8020
深圳卫视,http://brucex.space:4022/rtp/239.3.1.134:8020
深圳卫视,http://www.brucex.space:4022/rtp/239.3.1.134:8020
深圳卫视,http://171.124.111.237:8085/rtp/226.0.2.147:9088
深圳卫视,http://183.129.136.102:9999/rtp/233.50.201.101:5140
深圳卫视,http://183.129.136.102:9999/rtp/233.50.200.188:5140
深圳卫视,http://114.248.6.123:8888/rtp/239.3.1.134:8020
深圳卫视,http://114.250.23.126:4022/rtp/239.3.1.134:8020
北京卫视,http://112.254.55.106:22222/rtp/239.253.254.85:8000
北京卫视,http://124.65.5.35:20000/rtp/239.3.1.241:8000
北京卫视,http://124.77.177.88:5555/rtp/239.45.3.229:5140
北京卫视,http://124.77.177.88:5555/rtp/233.18.204.87:5140
北京卫视,http://222.129.32.179:6666/rtp/239.3.1.241:8000
北京卫视,http://brucex.space:4022/rtp/239.3.1.241:8000
北京卫视,http://www.brucex.space:4022/rtp/239.3.1.241:8000
北京卫视,http://171.124.111.237:8085/rtp/226.0.2.177:9328
北京卫视,http://183.129.136.102:9999/rtp/233.50.200.179:5140
北京卫视,http://183.129.136.102:9999/rtp/233.50.201.107:5140
北京卫视,http://114.248.6.123:8888/rtp/239.3.1.241:8000
